Year,Winner,Score,Loser,Goals
1998,Germany ,2–1, Mexico, Klinsmann  74'Bierhoff  86'   Hernández  47' 
1998,Netherlands ,2–1, FR Yugoslavia, Bergkamp  38'Davids  90+2'   Komljenović  48' 
1998,Romania ,0–1, Croatia,    Šuker  45+2' (pen.) 
1998,Argentina ,2–2 (a.e.t.), England, Batistuta  5' (pen.)Zanetti  45+1'   Shearer  9' (pen.)Owen  16' 
1998,Italy ,0–0 (a.e.t.), France,     
1998,Brazil ,3–2, Denmark," Bebeto  10'Rivaldo  25', 59'   M. Jørgensen  2'B. Laudrup  50' "
1998,Netherlands ,2–1, Argentina, Kluivert  12'Bergkamp  90'   López  17' 
1998,Germany ,0–3, Croatia,    Jarni  45+3'Vlaović  80'Šuker  85' 
1998,Brazil ,1–1 (a.e.t.), Netherlands, Ronaldo  46'   Kluivert  87' 
1998,France ,2–1, Croatia," Thuram  47', 70'   Šuker  46' "
1998,Netherlands ,1–2, Croatia, Zenden  22'   Prosinečki  14'Šuker  36' 
1998,Brazil ,0–3, France,"    Zidane  27', 45+1'Petit  90+3' "
2002,France ,0–1, Senegal,    Bouba Diop  30' 
2002,Uruguay ,1–2, Denmark," Rodríguez  47'   Tomasson  45', 83' "
2002,Denmark ,1–1, Senegal, Tomasson  16' (pen.)   Diao  52' 
2002,France ,0–0, Uruguay,     
2002,Denmark ,2–0, France, Rommedahl  22'Tomasson  67'    
2002,Senegal ,3–3, Uruguay," Fadiga  20' (pen.)Bouba Diop  26', 38'   Morales  46'Forlán  69'Recoba  88' (pen.) "
2002,Paraguay ,2–2, South Africa, Santa Cruz  39'Arce  55'   T. Mokoena  63'Fortune  90+1' (pen.) 
2002,Spain ,3–1, Slovenia, Raúl  44'Valerón  74'Hierro  87' (pen.)   Cimirotič  82' 
2002,Spain ,3–1, Paraguay," Morientes  53', 69'Hierro  83' (pen.)   Puyol  10' (o.g.) "
2002,South Africa ,1–0, Slovenia, Nomvethe  4'    
2002,South Africa ,2–3, Spain," McCarthy  31'Radebe  53'   Raúl  4', 56'Mendieta  45+1' "
2002,Slovenia ,1–3, Paraguay," Ačimovič  45+1'   Cuevas  65', 84'Campos  73' "
2002,Brazil ,2–1, Turkey, Ronaldo  50'Rivaldo  87' (pen.)   Hasan Şaş  45+2' 
2002,China ,0–2, Costa Rica,    Gómez  61'Wright  65' 
